,Date, Open, High, Low, Close, Volume,change,Senti
229,06/15/20,141.0,142.39700000000002,139.3914,141.25,8655014,-3.210000000000008,-1
230,06/12/20,142.84,143.7067,140.28,142.15,8687356,0.9000000000000057,1
231,06/11/20,148.58,149.17,140.75,140.87,11913270,-1.2800000000000011,-1
232,06/10/20,146.6,150.03,146.6,147.8,10137070,6.930000000000007,1
233,06/09/20,148.25,149.33,145.65,145.96,8247233,-1.8400000000000034,-1
234,06/08/20,145.88,147.61,145.74,146.77,7555622,0.8100000000000023,1
235,06/05/20,147.69,149.64,146.6,147.3,9725441,0.5300000000000011,1
236,06/04/20,146.8,148.37,145.58,146.73,8170480,-0.5700000000000216,-1
237,06/03/20,148.52,149.14,146.44899999999998,148.65,6339468,1.920000000000016,1
238,06/02/20,147.06,148.35,146.12,148.25,6078311,-0.4000000000000057,-1
239,06/01/20,147.29,148.34,146.01,147.19,6142580,-1.0600000000000023,-1
240,05/29/20,147.96,149.35,145.33,148.75,8505215,1.5600000000000023,1
241,05/28/20,146.02,148.11,145.81,146.97,6190582,-1.7800000000000011,-1
242,05/27/20,144.32,145.25,143.01,144.89,7950008,-2.0800000000000125,-1
243,05/26/20,146.19,146.44,144.3,144.56,7072258,-0.3299999999999841,-1
244,05/22/20,144.57,146.285,144.06,144.37,6140899,-0.18999999999999773,-1
245,05/21/20,148.5,148.5,145.82,146.71,6487343,2.3400000000000034,1
246,05/20/20,149.75,150.39,147.27,147.68,5713440,0.9699999999999989,1
247,05/19/20,150.1,151.1,148.4,149.02,6107256,1.3400000000000034,1
248,05/18/20,152.49,153.62,150.46,150.52,7389995,1.5,1
249,05/15/20,147.87,150.48,145.66,150.44,10340400,-0.0800000000000125,-1
250,05/14/20,145.39,147.76,144.257,147.64,6871412,-2.8000000000000114,-1
251,05/13/20,146.08,148.95,146.01,147.13,6970457,-0.5099999999999909,-1
252,05/12/20,150.1,150.34,147.03,147.14,7039227,0.009999999999990905,1
253,05/11/20,148.45,150.1,148.12,149.11,5887489,1.9700000000000273,1
254,05/08/20,148.92,149.18,147.89,148.7,4712477,-0.410000000000025,-1
255,05/07/20,149.37,149.525,147.1301,147.59,5571034,-1.1099999999999852,-1
256,05/06/20,150.0,150.32,148.04,148.08,6191594,0.4900000000000091,1
257,05/05/20,149.0,150.78,148.64,149.5,6562288,1.4199999999999875,1
258,05/04/20,148.77,149.08,147.09,148.27,7198409,-1.2299999999999898,-1
259,05/01/20,149.62,149.67,146.79,148.29,7308960,0.01999999999998181,1
260,04/30/20,148.46,150.43,147.16,150.04,14829600,1.75,1
261,04/29/20,151.38,151.63,149.16,150.24,9285216,0.20000000000001705,1
262,04/28/20,151.25,153.1,150.7,151.39,8558719,1.1499999999999773,1
263,04/27/20,154.81,156.05,154.0,154.29,8924048,2.9000000000000057,1
264,04/24/20,155.57,156.3,153.64,154.86,8654126,0.5700000000000216,1
265,04/23/20,154.25,157.0,153.6988,155.51,10665020,0.6499999999999773,1
266,04/22/20,152.81,155.0,151.73,152.99,11518320,-2.519999999999982,-1
267,04/21/20,150.12,151.64,148.57,149.68,9951106,-3.3100000000000023,-1
268,04/20/20,150.93,153.0,150.09,151.67,12226200,1.9899999999999807,1
269,04/17/20,151.99,152.3,149.6,152.02,10920020,0.35000000000002274,1
270,04/16/20,148.31,150.68,146.44,149.67,12181700,-2.3500000000000227,-1
271,04/15/20,145.55,147.91,143.54,147.66,11962260,-2.009999999999991,-1
272,04/14/20,145.42,147.42,144.05,146.03,13838020,-1.6299999999999955,-1
273,04/13/20,140.0,141.4899,137.8404,139.77,8153228,-6.259999999999991,-1
274,04/09/20,144.01,145.42,140.28,141.23,11127210,1.4599999999999795,1
275,04/08/20,137.75,144.13,137.3,143.26,10758180,2.030000000000001,1
276,04/07/20,139.86,142.03,137.26,137.48,11567070,-5.780000000000001,-1
277,04/06/20,137.01,140.97,135.54,139.76,14904500,2.280000000000001,1
278,04/03/20,132.38,134.785,131.58,134.17,10071180,-5.590000000000003,-1
279,04/02/20,129.12,134.0,127.22,133.15,11594460,-1.0199999999999818,-1
280,04/01/20,127.7,130.23,125.5,128.81,12606080,-4.340000000000003,-1
281,03/31/20,134.99,135.7097,130.05,131.13,15746120,2.319999999999993,1
282,03/30/20,128.46,133.99,127.5,133.01,21754029,1.8799999999999955,1
283,03/27/20,121.65,127.62,120.58,123.16,12133220,-9.849999999999994,-1
284,03/26/20,120.57,127.1,120.38,126.57,15068650,3.4099999999999966,1
285,03/25/20,118.91,123.96,116.7008,119.4,13986050,-7.1699999999999875,-1
286,03/24/20,118.76,119.65,113.86,119.18,17604770,-0.21999999999999886,-1
287,03/23/20,117.0,118.56,109.16,111.14,20815230,-8.040000000000006,-1
288,03/20/20,126.83,127.44,118.13,119.89,19785131,8.75,1
289,03/19/20,134.99,134.99,126.15,127.05,18482340,7.159999999999997,1
290,03/18/20,131.02,135.6696,128.71,134.96,17521131,7.910000000000011,1
291,03/17/20,128.55,136.77,127.81,136.59,18911760,1.6299999999999955,1
292,03/16/20,123.57,133.76,122.43,127.13,18877920,-9.460000000000008,-1
293,03/13/20,129.32,134.92,124.65,134.29,20084150,7.159999999999997,1
294,03/12/20,127.31,133.765,124.5,125.41,21539199,-8.879999999999995,-1
295,03/11/20,138.09,138.75,131.5,131.8,17768061,6.390000000000015,1
296,03/10/20,139.97,141.95,134.23,141.64,12698070,9.839999999999975,1
297,03/09/20,136.33,139.6799,134.9,136.44,13848570,-5.199999999999989,-1
298,03/06/20,138.48,143.01,137.41,142.03,12239090,5.590000000000003,1
299,03/05/20,140.8,142.68,139.84,142.01,11339190,-0.020000000000010232,-1
300,03/04/20,137.68,143.64,137.14,143.48,10560820,1.4699999999999989,1
301,03/03/20,140.0,140.99,133.1,135.59,13662450,-7.889999999999986,-1
302,03/02/20,134.78,140.13,134.0138,140.02,11508230,4.430000000000007,1
303,02/28/20,135.36,137.29,130.82,134.48,19825529,-5.5400000000000205,-1
304,02/27/20,142.56,144.77,138.95,139.12,12566710,4.640000000000015,1
305,02/26/20,145.35,146.22,143.59,143.68,10094400,4.560000000000002,1
306,02/25/20,145.99,146.75,143.83,144.65,10529370,0.9699999999999989,1
307,02/24/20,146.5,149.0,145.25,145.91,10589200,1.259999999999991,1
308,02/21/20,148.09,150.24,147.54,149.93,7776835,4.02000000000001,1
309,02/20/20,148.61,149.38,147.4043,148.37,7465047,-1.5600000000000023,-1
310,02/19/20,149.21,149.76,148.58,148.94,6115220,0.5699999999999932,1
311,02/18/20,150.47,150.74,149.06,149.14,7231010,0.19999999999998863,1
312,02/14/20,150.56,150.64,149.15,150.13,5716549,0.9900000000000091,1
313,02/13/20,150.16,151.045,149.88,150.09,5480225,-0.03999999999999204,-1
314,02/12/20,151.87,152.15,150.92,151.09,5167069,1.0,1
315,02/11/20,152.29,152.38,151.54,151.99,3715389,0.9000000000000057,1
316,02/10/20,151.68,151.91,150.8911,151.86,4836002,-0.12999999999999545,-1
317,02/07/20,153.34,153.455,151.55,151.89,5700295,0.029999999999972715,1
318,02/06/20,154.25,154.5,152.74,153.53,6201257,1.6400000000000148,1
319,02/05/20,151.72,154.02,151.31,153.99,5980013,0.46000000000000796,1
320,02/04/20,151.49,152.75,151.2,151.6,6541584,-2.390000000000015,-1
321,02/03/20,149.42,150.49,149.24,150.17,5765413,-1.4300000000000068,-1
322,01/31/20,149.75,150.0,148.64,148.87,8651930,-1.299999999999983,-1
323,01/30/20,150.03,150.51,149.05,150.36,6470584,1.490000000000009,1
324,01/29/20,149.45,151.19,149.13,150.54,6288760,0.1799999999999784,1
325,01/28/20,148.46,150.57,148.15,149.5,7336636,-1.039999999999992,-1
326,01/27/20,147.52,149.46,147.0,148.75,7587103,-0.75,-1
327,01/24/20,148.58,148.945,147.93,148.32,9051933,-0.4300000000000068,-1
328,01/23/20,148.04,148.77,146.755,148.53,8671988,0.21000000000000796,1
329,01/22/20,146.7,149.18,146.0,148.25,10305330,-0.28000000000000114,-1
330,01/21/20,148.58,150.17,148.5,149.27,9543905,1.0200000000000102,1
331,01/17/20,148.41,149.41,147.93,149.17,9083838,-0.10000000000002274,-1
332,01/16/20,147.42,148.84,146.2,148.2,6476379,-0.9699999999999989,-1
333,01/15/20,146.4,147.395,146.24,147.01,4960460,-1.1899999999999977,-1
334,01/14/20,145.05,146.61,144.73,146.52,7038779,-0.4899999999999807,-1
335,01/13/20,145.48,145.79,144.72,145.7,4593819,-0.8200000000000216,-1
336,01/10/20,145.75,146.18,144.9,145.06,5042668,-0.6399999999999864,-1
337,01/09/20,145.76,146.03,144.99,145.39,6112783,0.3299999999999841,1
338,01/08/20,144.87,145.98,143.7,144.96,6605775,-0.4299999999999784,-1
339,01/07/20,144.01,145.45,141.38,144.98,7389034,0.01999999999998181,1
340,01/06/20,144.0,144.2,142.85,144.1,7731435,-0.8799999999999955,-1
341,01/03/20,143.5,145.373,143.0,144.28,5753422,0.18000000000000682,1
342,01/02/20,145.87,146.02,145.08,145.97,5634469,1.6899999999999977,1
343,12/31/19,145.1,146.01,144.78,145.87,4435105,-0.09999999999999432,-1
344,12/30/19,145.78,146.2,145.03,145.3,2923859,-0.5699999999999932,-1
345,12/27/19,146.2,146.55,145.54,145.75,3432686,0.44999999999998863,1
346,12/26/19,145.97,146.1827,145.16,145.83,3020481,0.0800000000000125,1
347,12/24/19,146.0,146.01,145.26,145.93,4238924,0.09999999999999432,1
